total_requests,external_domain_count,redirect_count,js_requests,ip_based_requests,suspicious_tld_count,download_attempts,final_url_differs,unique_request_domains,unique_request_domain_ratio,script_domain_count,external_request_ratio,error_flag,timeout_flag,document_requests,script_requests,stylesheet_requests,image_requests,font_requests,xhr_fetch_requests,other_requests,label
18,1,1,9,0,0,0,0,2,0.1111111111111111,2,0.05555555555555555,0,0,3,9,0,2,0,4,0,0
1,0,0,0,0,0,0,0,1,1.0,0,0.0,1,0,1,0,0,0,0,0,0,1
39,6,1,11,0,0,0,1,7,0.1794871794871795,3,0.15384615384615385,0,0,3,11,4,21,0,0,0,1
1,0,0,0,0,0,0,0,1,1.0,0,0.0,1,0,1,0,0,0,0,0,0,1
54,13,1,19,0,0,0,1,14,0.25925925925925924,9,0.24074074074074073,0,0,6,19,1,10,1,16,1,0
621,140,10,256,1,0,0,1,141,0.22705314009661837,52,0.22544283413848631,0,0,28,256,25,71,10,128,103,0
1,0,0,0,0,0,0,0,1,1.0,0,0.0,1,0,1,0,0,0,0,0,0,1
21,2,3,9,0,0,0,1,3,0.14285714285714285,3,0.09523809523809523,0,0,5,9,0,2,0,5,0,0
2,0,0,0,0,0,0,1,1,0.5,0,0.0,0,0,2,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,1,1.0,0,0.0,1,0,1,0,0,0,0,0,0,1
65,22,0,24,0,0,0,0,23,0.35384615384615387,10,0.3384615384615385,0,0,1,24,8,4,7,21,0,0
1,0,0,0,0,0,0,0,1,1.0,0,0.0,0,0,1,0,0,0,0,0,0,1
72,4,1,6,0,0,0,1,5,0.06944444444444445,4,0.05555555555555555,0,0,2,6,2,59,0,3,0,0
560,165,148,72,0,1,0,1,166,0.29642857142857143,18,0.29464285714285715,0,0,121,72,3,311,5,43,5,0
57,9,2,10,0,0,0,1,10,0.17543859649122806,6,0.15789473684210525,0,0,9,10,3,26,4,5,0,0
86,5,0,43,0,0,0,0,6,0.06976744186046512,3,0.05813953488372093,0,0,1,43,25,11,4,2,0,0
11,3,0,3,0,0,0,0,4,0.36363636363636365,3,0.2727272727272727,0,0,1,3,0,5,0,2,0,0
1,0,0,0,0,0,0,0,1,1.0,0,0.0,1,0,1,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,1,1.0,0,0.0,1,0,1,0,0,0,0,0,0,1
47,12,2,15,0,0,0,1,13,0.2765957446808511,5,0.2553191489361702,0,0,3,15,3,17,3,6,0,0
3,2,0,0,0,0,0,0,3,1.0,0,0.6666666666666666,0,0,1,0,1,0,1,0,0,1
1,0,0,0,0,0,0,0,1,1.0,0,0.0,0,0,1,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,1,1.0,0,0.0,1,0,1,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,1,1.0,0,0.0,0,0,1,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,1,1.0,0,0.0,1,0,1,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,1,1.0,0,0.0,1,0,1,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,1,1.0,0,0.0,1,0,1,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,1,1.0,0,0.0,1,0,1,0,0,0,0,0,0,1
15,8,0,2,0,1,0,1,9,0.6,2,0.5333333333333333,0,0,1,2,5,2,2,3,0,1
50,10,1,13,0,0,0,1,11,0.22,5,0.2,0,0,7,13,3,4,8,14,1,0
63,12,2,25,0,0,0,1,14,0.2222222222222222,7,0.19047619047619047,0,0,3,25,6,24,1,4,0,0
1,0,0,0,0,0,0,0,1,1.0,0,0.0,0,0,1,0,0,0,0,0,0,1
3,0,0,0,0,0,0,0,1,0.3333333333333333,0,0.0,0,0,1,0,0,2,0,0,0,1
13,0,3,2,0,0,0,1,1,0.07692307692307693,1,0.0,0,0,2,2,1,0,1,7,0,0
126,7,1,41,0,0,0,1,8,0.06349206349206349,5,0.05555555555555555,0,0,4,41,4,1,5,6,65,1
1,0,0,0,0,0,0,0,1,1.0,0,0.0,1,0,1,0,0,0,0,0,0,1
39,2,1,8,0,1,0,0,3,0.07692307692307693,2,0.05128205128205128,0,0,1,8,2,28,0,0,0,0
19,1,3,8,0,0,0,1,2,0.10526315789473684,2,0.05263157894736842,0,0,5,8,0,2,0,4,0,0
1,0,0,0,0,0,0,0,1,1.0,0,0.0,1,0,1,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,1,1.0,0,0.0,1,0,1,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,1,1.0,0,0.0,1,0,1,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,1,1.0,0,0.0,1,0,1,0,0,0,0,0,0,0
80,6,1,13,0,0,0,1,7,0.0875,4,0.075,0,0,11,13,1,29,1,25,0,0
1,0,0,0,0,0,0,0,1,1.0,0,0.0,0,0,1,0,0,0,0,0,0,1
11,6,1,3,0,0,0,1,7,0.6363636363636364,3,0.5454545454545454,0,0,3,3,0,2,2,0,1,1
1,0,0,0,0,0,0,0,1,1.0,0,0.0,1,0,1,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,1,1.0,0,0.0,0,0,1,0,0,0,0,0,0,1
45,8,0,9,0,0,0,0,9,0.2,4,0.17777777777777778,0,0,11,9,5,13,4,3,0,0
1,0,0,0,0,0,0,0,1,1.0,0,0.0,1,1,1,0,0,0,0,0,0,1
409,116,101,87,0,1,0,0,119,0.29095354523227385,26,0.28361858190709044,1,1,84,87,1,179,0,53,5,0
1,0,0,0,0,0,0,0,1,1.0,0,0.0,1,0,1,0,0,0,0,0,0,1
85,8,1,47,0,0,0,1,9,0.10588235294117647,7,0.09411764705882353,0,0,2,47,1,20,1,13,1,0
54,12,1,11,0,0,0,1,13,0.24074074074074073,6,0.2222222222222222,0,0,4,11,4,24,8,1,2,0
1,0,0,0,0,0,0,0,1,1.0,0,0.0,1,0,1,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,1,1.0,0,0.0,1,0,1,0,0,0,0,0,0,1
4,1,1,0,0,0,0,1,2,0.5,0,0.25,0,0,2,0,2,0,0,0,0,1
220,28,10,69,0,0,0,1,29,0.1318181818181818,14,0.12727272727272726,0,0,11,69,25,54,8,53,0,1
40,19,0,14,0,0,0,0,20,0.5,10,0.475,0,0,7,14,3,6,3,5,2,0
